country_code,country_name,isic_section_index,isic_section_name,industry_id,industry_name,growth_rate_2015,growth_rate_2016,growth_rate_2017,growth_rate_2018,growth_rate_2019
th,Thailand,B,Mining and quarrying,56,Mining & Metals,1.55%,0.00%,-0.74%,0.56%,-0.74%
th,Thailand,B,Mining and quarrying,57,Oil & Energy,-2.13%,-3.36%,-2.48%,-1.13%,0.46%
th,Thailand,C,Manufacturing,15,Pharmaceuticals,1.64%,3.07%,2.39%,1.02%,0.75%
th,Thailand,C,Manufacturing,23,Food Production,3.08%,2.83%,2.06%,-0.21%,0.62%
th,Thailand,C,Manufacturing,52,Aviation & Aerospace,0.88%,1.87%,-1.39%,-1.60%,-0.85%
th,Thailand,C,Manufacturing,53,Automotive,-2.03%,-0.50%,-0.72%,-0.17%,0.35%
th,Thailand,C,Manufacturing,54,Chemicals,0.22%,0.72%,1.33%,0.73%,-0.13%
th,Thailand,C,Manufacturing,55,Machinery,3.76%,2.83%,3.56%,0.88%,0.09%
th,Thailand,C,Manufacturing,58,Shipbuilding,-6.78%,-8.93%,6.00%,-1.85%,-7.41%
th,Thailand,C,Manufacturing,60,Textiles,-0.47%,1.44%,3.13%,0.47%,-1.57%
th,Thailand,C,Manufacturing,61,Paper & Forest Products,-4.32%,-3.65%,-1.39%,0.71%,-1.41%
th,Thailand,C,Manufacturing,83,Printing,5.36%,0.00%,-2.26%,2.84%,-1.06%
th,Thailand,C,Manufacturing,112,Electrical & Electronic Manufacturing,1.58%,1.49%,1.57%,1.39%,0.43%
th,Thailand,C,Manufacturing,117,Plastics,1.14%,4.96%,1.40%,0.27%,0.27%
th,Thailand,C,Manufacturing,144,Renewables & Environment,-0.90%,-2.00%,-2.75%,-2.43%,-0.76%
th,Thailand,C,Manufacturing,145,"Glass, Ceramics & Concrete",3.61%,8.54%,-2.94%,1.24%,-1.79%
th,Thailand,C,Manufacturing,146,Packaging & Containers,3.68%,0.55%,0.91%,0.87%,0.00%
th,Thailand,C,Manufacturing,147,Industrial Automation,3.68%,2.19%,-1.43%,-1.08%,-1.75%
th,Thailand,J,Information and communication,3,Computer Hardware,-2.12%,-5.14%,0.18%,-0.26%,-0.95%
th,Thailand,J,Information and communication,4,Computer Software,1.28%,3.69%,3.24%,3.49%,1.45%
th,Thailand,J,Information and communication,5,Computer Networking,4.17%,2.29%,0.57%,-2.20%,0.27%
th,Thailand,J,Information and communication,6,Internet,9.83%,7.91%,4.95%,2.71%,3.88%
th,Thailand,J,Information and communication,7,Semiconductors,2.65%,1.61%,-2.18%,0.29%,-2.58%
th,Thailand,J,Information and communication,8,Telecommunications,1.49%,-0.51%,-0.95%,-1.98%,-1.79%
th,Thailand,J,Information and communication,35,Motion Pictures & Film,1.69%,7.69%,7.30%,3.26%,3.65%
th,Thailand,J,Information and communication,36,Broadcast Media,2.96%,1.04%,4.49%,3.65%,0.54%
th,Thailand,J,Information and communication,81,Newspapers,15.19%,-2.47%,-1.30%,-5.13%,-5.95%
th,Thailand,J,Information and communication,82,Publishing,-1.93%,-5.90%,-3.27%,1.43%,-2.49%
th,Thailand,J,Information and communication,96,Information Technology & Services,2.61%,2.05%,0.98%,0.57%,0.24%
th,Thailand,J,Information and communication,103,Writing & Editing,-7.96%,-11.40%,-7.41%,2.97%,-5.31%
th,Thailand,J,Information and communication,109,Computer Games,7.60%,-4.29%,4.79%,-1.62%,0.32%
th,Thailand,J,Information and communication,113,Online Media,2.47%,9.83%,3.10%,1.51%,-2.79%
th,Thailand,J,Information and communication,118,Computer & Network Security,-1.15%,0.00%,-0.86%,-2.57%,-1.15%
th,Thailand,J,Information and communication,126,Media Production,3.02%,0.83%,0.41%,0.61%,1.19%
